id@ Name_Surname@ Nickname@ Birth_Date@ id_Assistant
1@ Skualo Kavallini@ bbeikhd@ 1973-1-17@
69@ Ponio Suberbia@ eqop@ 1996-2-10@ 68
70@ Yui Kavallini@ kzul@ 1980-9-21@ 69
71@ Xanxas Sawada@ yas@ 1984-1-9@ 70
72@ Xanxas Kavallini@ wkjswkpb@ 1981-8-15@ 71
73@ Belfegor Aron@ yeio@ 1988-5-18@ 72
74@ Fran Albarn@ oyt@ 1996-1-6@ 73
75@ Ponio Rokudo@ ylnaobus@ 1996-8-10@ 74
76@ Tsunaeshi Albarn@ tiameo@ 1980-10-20@ 75
77@ Yuki Aron@ lblo@ 1991-8-15@ 76
78@ Mai Suberbia@ zgr@ 1972-11-2@ 77
79@ Tsunaeshi Sawada@ cuhn@ 1987-10-25@ 78
80@ Mai Udzumaki@ ngkkddf@ 1988-11-4@ 79
81@ Tsunaeshi Stein@ yedv@ 1989-11-5@ 80
82@ Yui Kavallini@ fbdb@ 1992-12-9@ 81
83@ Belfegor Uchiha@ tzokth@ 1971-2-3@ 82
84@ Tsunaeshi Uchiha@ pplua@ 1980-9-18@ 83
85@ Yui Albarn@ wvhxw@ 1998-3-14@ 84
86@ Kioko Suberbia@ rven@ 1998-4-6@ 85
87@ Skualo Albarn@ ovogg@ 1975-7-10@ 86
88@ Skualo Sawada@ kktbnnr@ 1994-3-23@ 87
89@ Mukuro Uchiha@ ekzjd@ 1983-8-10@ 88
90@ Mai Uchiha@ cwgzh@ 1994-7-9@ 89
91@ Yui Udzumaki@ ycb@ 1989-4-20@ 90
92@ Yuki Uchiha@ nvstn@ 1997-4-3@ 91
93@ Maka Albarn@ oouc@ 1986-11-1@ 92
94@ Xanxas Aron@ mda@ 1996-5-7@ 93
95@ Yui Stein@ ufanxa@ 1974-7-28@ 94
96@ Kioko Aron@ mrsiq@ 1988-4-21@ 95
97@ Mai Albarn@ hklbk@ 1979-1-14@ 96
98@ Xanxas Aron@ ibo@ 1975-1-25@ 97
99@ Maka Kavallini@ curzp@ 1977-4-1@ 98
100@ Soul Aron@ saqiklkh@ 1987-12-16@ 99
